Episode,Total Reward,Hits,False Positives,Repeats,Avg Loss
703,10.0,6,14,3,0.0
704,20.0,7,13,1,0.41976821174224216
705,4.0,5,15,3,0.0
706,-8.0,3,17,3,0.0
707,-10.0,3,17,4,0.0
708,-8.0,4,16,6,0.0
709,16.0,8,12,6,0.0
710,-18.0,1,19,2,0.0
711,6.0,5,15,2,0.0
712,10.0,5,15,0,0.0
713,4.0,4,16,0,0.0
714,-6.0,3,17,2,0.0
715,10.0,5,15,0,0.0
716,-8.0,2,18,0,0.0
717,-10.0,2,18,1,0.0
718,-4.0,3,17,1,0.0
719,0.0,4,16,2,0.0
720,4.0,5,15,3,0.0
721,6.0,5,15,2,0.0
722,8.0,5,15,1,0.0
723,20.0,7,13,1,0.0
724,0.0,4,16,2,0.0
725,12.0,6,14,2,0.0
726,8.0,5,15,1,0.0
727,-2.0,4,16,3,0.0
728,24.0,8,12,2,0.0
729,10.0,5,15,0,0.0
730,-16.0,1,19,1,0.0
731,-30.0,0,20,5,0.0
732,-4.0,3,17,1,0.0
733,-14.0,2,18,3,0.0
734,10.0,5,15,0,0.0
735,4.0,5,15,3,0.0
736,8.0,6,14,4,0.4148356070121129
737,2.0,5,15,4,0.0
738,-12.0,2,18,2,0.0
739,8.0,5,15,1,0.0
740,2.0,5,15,4,0.0
741,14.0,6,14,1,0.0
742,0.0,4,16,2,0.0
743,-10.0,3,17,4,0.0
744,18.0,8,12,5,0.0
745,14.0,6,14,1,0.0
746,8.0,5,15,1,0.0
747,8.0,5,15,1,0.0
748,0.0,5,15,5,0.0
749,-12.0,2,18,2,0.0
750,2.0,5,15,4,0.0
751,20.0,7,13,1,0.0
752,14.0,6,14,1,0.0
753,2.0,5,15,4,0.0
754,-12.0,2,18,2,0.0
755,6.0,5,15,2,0.0
756,-4.0,4,16,4,0.0
757,-12.0,2,18,2,0.0
758,0.0,4,16,2,0.0
759,6.0,5,15,2,0.0
760,14.0,6,14,1,0.0
761,18.0,7,13,2,0.0
762,0.0,4,16,2,0.0
763,6.0,5,15,2,0.0
764,-16.0,2,18,4,0.0
765,-18.0,2,18,5,0.0
766,4.0,4,16,0,0.0
767,10.0,6,14,3,0.0
768,-16.0,1,19,1,0.3808228100339572
769,-6.0,3,17,2,0.0
770,-4.0,4,16,4,0.0
771,-2.0,3,17,0,0.0
772,8.0,6,14,4,0.0
773,18.0,7,13,2,0.0
774,-6.0,4,16,5,0.0
775,10.0,5,15,0,0.0
776,2.0,4,16,1,0.0
777,6.0,5,15,2,0.0
778,26.0,9,11,4,0.0
779,-2.0,4,16,3,0.0
780,20.0,8,12,4,0.0
781,4.0,5,15,3,0.0
782,2.0,6,14,7,0.0
783,-10.0,3,17,4,0.0
784,0.0,4,16,2,0.0
785,6.0,5,15,2,0.0
786,4.0,5,15,3,0.0
787,4.0,4,16,0,0.0
788,2.0,4,16,1,0.0
789,-20.0,1,19,3,0.0
790,8.0,6,14,4,0.0
791,-4.0,3,17,1,0.0
792,-6.0,4,16,5,0.0
793,12.0,6,14,2,0.0
794,-14.0,2,18,3,0.0
795,-12.0,2,18,2,0.0
796,-12.0,2,18,2,0.0
797,4.0,6,14,6,0.0
798,4.0,5,15,3,0.0
799,-6.0,3,17,2,0.0
800,-4.0,3,17,1,0.4105004941423734
801,-8.0,3,17,3,0.0
802,2.0,4,16,1,0.0
803,-6.0,3,17,2,0.0
804,2.0,5,15,4,0.0
805,0.0,4,16,2,0.0
806,-8.0,3,17,3,0.0
807,-14.0,3,17,6,0.0
808,20.0,7,13,1,0.0
809,6.0,5,15,2,0.0
810,2.0,4,16,1,0.0
811,4.0,5,15,3,0.0
812,-4.0,3,17,1,0.0
813,-8.0,3,17,3,0.0
814,10.0,6,14,3,0.0
815,4.0,4,16,0,0.0
816,2.0,4,16,1,0.0
817,-8.0,3,17,3,0.0
818,8.0,5,15,1,0.0
819,-6.0,3,17,2,0.0
820,4.0,5,15,3,0.0
821,-6.0,3,17,2,0.0
822,20.0,7,13,1,0.0
823,4.0,4,16,0,0.0
824,12.0,6,14,2,0.0
825,12.0,6,14,2,0.0
